nCount_RNA	group	0.25_0.25_0.25_0.25_x	0.25_0.25_0.25_0.25_y	0.25_0.25_0.25_0.25_x_expression	0.25_0.25_0.25_0.25_y_expression	0.25_0.25_0.25_0.25_group	0.1_0.4_0.4_0.1_x	0.1_0.4_0.4_0.1_y	0.1_0.4_0.4_0.1_x_expression	0.1_0.4_0.4_0.1_y_expression	0.1_0.4_0.4_0.1_group	0_0.5_0.5_0_x	0_0.5_0.5_0_y	0_0.5_0.5_0_x_expression	0_0.5_0.5_0_y_expression	0_0.5_0.5_0_group
20036	group3	0	1	0.0	1.0606668366802265	1.0	0	0	0.0	0.0	0.0	0	5	0.0	0.5605952548350768	1.0
20682	group2	0	0	0.0	0.0	0.0	0	0	0.18337217356973212	0.0	2.0	5	0	0.7591509045347185	0.0	2.0
36511	group3	6	0	1.2098586154156767	0.0	2.0	0	3	0.0	0.5224668018722166	1.0	0	1	0.0	0.7649277045400076	1.0
12534	group3	0	1	0.0	0.6420074695839416	1.0	1	0	0.7515961130749077	0.0	2.0	1	0	0.9375818734303021	0.0	2.0
18220	group3	0	2	0.0	0.9802458427401302	1.0	3	2	0.7477778120441398	0.2406193508238793	3.0	0	1	0.0	0.7822416515846036	1.0
7350	group2	0	0	0.0	0.3207517830245412	1.0	0	0	0.47423294555861994	0.0	2.0	0	0	1.0323110636569872	0.0	2.0
13052	group3	0	0	0.0	0.0	0.0	0	0	0.48356339973919005	0.0	2.0	0	0	0.1624928468619894	0.0	2.0
16425	group1	2	0	0.7800536599303144	0.0	2.0	0	0	0.0	0.0	0.0	0	1	0.0	0.33105409074745823	1.0
13753	group3	0	0	0.0	0.44184830413144	1.0	0	0	0.0	0.7273738546625865	1.0	1	0	0.6265103519079593	0.0	2.0
14036	group2	0	1	0.0	0.8104927627421817	1.0	0	0	0.0	0.8996687920636326	1.0	0	2	0.0	0.6614481881060137	1.0
12190	group3	2	0	1.230595848736965	0.0	2.0	1	0	0.5566252344168316	0.0	2.0	0	1	0.0	0.560419987197524	1.0
12761	group3	1	0	0.8921608837884594	0.0	2.0	2	0	0.6990744651800405	0.0	2.0	4	0	1.18104125078311	0.0	2.0
25426	group2	0	0	0.0	0.0	0.0	0	1	0.0	0.7001572491878842	1.0	1	0	0.7586332619005443	0.0	2.0
23016	group3	4	0	0.8797623544686461	0.0	2.0	0	0	0.0	0.0	0.0	5	0	0.632519009092647	0.0	2.0
15267	group3	0	0	0.0	0.0	0.0	0	2	0.0	0.741301322293912	1.0	0	1	0.0	0.8733580268617065	1.0
15680	group3	1	1	0.5545343767679407	0.7691015684652412	3.0	2	0	0.5806815734043884	0.20147047250449268	3.0	0	0	0.7749963051316594	0.0	2.0
9677	group1	1	1	1.2457061250895665	0.6992656490558768	3.0	0	1	0.0	0.7425188562965661	1.0	1	0	0.5588930459836653	0.0	2.0
17116	group3	0	4	0.0	0.6443578231649785	1.0	0	3	0.0	1.1426994910143105	1.0	0	3	0.0	0.5063308000425382	1.0
16540	group2	0	1	0.14276768109951354	0.8283614426187382	3.0	1	2	0.4074241037799972	1.0101792029006138	3.0	5	0	0.9664887575292099	0.0	2.0
13464	group3	0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	1	0.0	0.38396863031906886	1.0
18591	group2	1	0	0.5845040172505993	0.0	2.0	1	0	0.6512233778006913	0.0	2.0	0	0	0.6490245829581873	0.0	2.0
15630	group3	0	0	0.0	0.0	0.0	1	3	0.5093768541818469	0.903452072421788	3.0	0	2	0.0	1.1409984538217453	1.0
35148	group3	0	2	0.0	0.7115602478459335	1.0	0	6	0.0	0.4432871012815991	1.0	0	5	0.0	0.7904512967496586	1.0
17782	group2	0	0	0.0	0.0	0.0	3	0	1.042156738748464	0.0	2.0	0	0	0.0	0.3974443050053551	1.0
9322	group3	0	0	0.0	0.0	0.0	1	0	1.163731450540357	1.0620859214870366	3.0	0	2	0.0	0.8979553603516173	1.0
19299	group3	0	0	0.7094375080399887	0.0	2.0	0	3	0.0	1.017118999605798	1.0	3	0	0.7748006546433347	0.0	2.0
17503	group3	0	0	0.0	0.0	0.0	4	0	0.3124617769741763	0.0	2.0	0	1	0.0	0.5009620293944116	1.0
10534	group3	0	0	0.0	0.0	0.0	1	0	0.8807504974618517	0.0	2.0	0	0	0.13841515966739215	0.0	2.0
22958	group2	0	0	0.0	0.0	0.0	3	0	0.7962188050059003	0.0	2.0	0	3	0.0	0.5823936710975031	1.0
16941	group1	0	2	0.0	0.90794803021611	1.0	0	1	0.0	0.5076909388395259	1.0	3	0	0.8624645733317207	0.0	2.0
19740	group2	0	1	0.0	0.761714634829328	1.0	0	2	0.0	0.8348397340592643	1.0	1	0	0.549339332410765	0.0	2.0
11104	group1	0	0	0.0	0.0	0.0	0	1	0.0	0.24554910059367407	1.0	0	0	0.0	0.6148857662644477	1.0
14576	group3	1	0	0.9427788491552416	0.0	2.0	0	0	0.0	0.4536498956619134	1.0	0	2	0.0	0.8789623910108745	1.0
14945	group3	0	1	0.0	0.800107018943805	1.0	0	1	0.0	0.6311775022180571	1.0	5	0	1.1239529231413583	0.0	2.0
18929	group3	1	0	0.5384926018017093	0.0	2.0	0	0	0.0	0.500406521656394	1.0	1	0	0.670399133839882	0.0	2.0
8625	group3	0	1	0.0	0.8435241865854594	1.0	1	0	1.0677628217677357	0.0	2.0	1	0	0.920794751293869	0.0	2.0
16419	group3	4	6	1.0236775386281018	1.3338378801609347	3.0	1	0	0.8581509083699508	0.0	2.0	5	0	0.9293681569935586	0.0	2.0
17991	group2	7	0	1.2825538601838857	0.0	2.0	0	2	0.0	0.92601712423041	1.0	5	0	1.0323960543594564	0.0	2.0
15892	group3	0	0	0.0	0.0	0.0	3	0	0.7804353930820505	0.0	2.0	0	3	0.0	0.728030786667746	1.0
15400	group3	1	0	0.5064422915358928	0.0	2.0	0	4	0.0	0.9774354639749847	1.0	0	1	0.0	0.5536603980770332	1.0
25607	group1	4	6	0.8119642677803716	0.9789378686742827	3.0	0	3	0.0	0.6506316377856873	1.0	0	3	0.0	0.7170511042840081	1.0
25613	group3	0	0	0.17140884898400977	0.0	2.0	0	2	0.0	0.6328783663115515	1.0	1	0	0.44510548968236774	0.0	2.0
14739	group3	2	3	0.6784740749863322	0.6956787055075051	3.0	2	0	0.8831387113452241	0.0	2.0	0	1	0.0	0.4588191359682536	1.0
9456	group3	0	2	0.0	1.0393367383113263	1.0	0	0	0.0	0.4471360713543192	1.0	2	0	0.6196447658545572	0.0	2.0
28030	group3	0	0	0.32733360112240284	0.0	2.0	0	0	0.0	0.4072535850210327	1.0	0	7	0.0	1.097603039851673	1.0
15022	group3	0	0	0.0	0.9826766661590511	1.0	0	0	0.6784127153247531	0.0	2.0	0	1	0.0	0.7922054418812898	1.0
12584	group3	0	0	0.0	0.35213016534026464	1.0	0	2	0.0	0.8906260483974903	1.0	0	3	0.0	0.732899010648433	1.0
16181	group3	5	0	1.1784342526265577	0.8949809872060596	3.0	1	4	0.8774121420677682	0.8133911149675941	3.0	0	0	0.0	0.6299142016011506	1.0
