nCount_RNA	group	0.5_0_0_0.5_x	0.5_0_0_0.5_y	0.5_0_0_0.5_x_expression	0.5_0_0_0.5_y_expression	0.5_0_0_0.5_group	0_0.5_0.5_0_x	0_0.5_0.5_0_y	0_0.5_0.5_0_x_expression	0_0.5_0.5_0_y_expression	0_0.5_0.5_0_group
20036	group3	2	2	-9.125027354221642	-8.984831487857118	0.0	5	1	-7.989055434005621	-8.999667433586337	2.0
20682	group2	5	4	-7.785364583188362	-7.947052701573795	3.0	3	8	-8.492842288859894	-7.840209619504458	1.0
36511	group3	5	6	-9.016880048167899	-8.85001460002865	0.0	15	3	-7.869046072007347	-9.08686322077506	2.0
12534	group3	1	1	-9.640858828700535	-9.29877267933206	0.0	0	6	-9.13978121116225	-7.914166523072192	1.0
18220	group3	2	2	-8.507918757478503	-8.791920447512606	0.0	1	2	-8.990153950896424	-8.185448035053351	1.0
7350	group2	2	2	-9.53803067555846	-9.125490456008073	0.0	4	1	-8.233636437082705	-9.334819890919324	2.0
13052	group3	3	3	-9.252524209696862	-9.475373170533636	0.0	2	0	-8.166361943868433	-9.003864827023738	2.0
16425	group1	0	0	-8.849135574852587	-9.194312030136555	0.0	0	5	-8.877745115101048	-8.001006061991422	1.0
13753	group3	0	2	-9.37358642598217	-8.820427447809786	0.0	0	7	-9.236676908587722	-7.925439683133142	1.0
14036	group2	6	7	-7.947618817938562	-8.03970441822729	3.0	2	2	-8.27557898890426	-9.113508439262375	2.0
12190	group3	2	3	-9.317385665658701	-8.90032499021701	0.0	0	6	-8.999380328128215	-8.086410267286267	1.0
12761	group3	5	5	-7.988420303831359	-7.708307457559067	3.0	6	2	-7.710819883599015	-9.144340608863072	2.0
25426	group2	3	1	-9.272702284478054	-9.344242989883645	0.0	14	0	-7.792659659770409	-9.455199353638701	2.0
23016	group3	2	6	-8.223619124403738	-8.03025105555237	3.0	6	1	-7.735453245853264	-9.147261594366524	2.0
15267	group3	1	2	-8.834563786636073	-8.814399093291936	0.0	10	5	-7.904620683278192	-9.072204173550801	2.0
15680	group3	3	4	-8.033286584301727	-7.986846819010618	3.0	4	1	-7.882829468431887	-9.194384238066482	2.0
9677	group1	2	3	-8.312337596155512	-9.026396078502083	0.0	1	1	-8.142011257679961	-8.809232675925951	2.0
17116	group3	4	5	-8.042571077512278	-7.8101022659526125	3.0	5	8	-9.00026711575738	-7.968138609716946	1.0
16540	group2	5	5	-8.98753818210048	-8.872478281053894	0.0	6	0	-7.770036366735742	-8.477964808414447	2.0
13464	group3	0	2	-9.335377633534055	-8.9003240563883	0.0	5	2	-8.134799216066137	-8.910995334686579	2.0
18591	group2	10	9	-8.009928977777895	-8.109107888582749	3.0	0	4	-9.526417291903627	-7.986974176914203	1.0
15630	group3	6	3	-8.075240081218862	-8.070996398951635	3.0	3	3	-8.079684256350093	-8.787748901444434	2.0
35148	group3	7	4	-8.838282503825763	-9.347044878275742	0.0	13	6	-8.045403028444227	-8.45315527106453	2.0
17782	group2	7	6	-8.005258180277112	-7.977487612899556	3.0	5	3	-8.09499383257956	-8.870769291150332	2.0
9322	group3	4	3	-8.05726616364314	-8.039584394933524	3.0	1	0	-7.8968542268983555	-8.537181112353574	2.0
19299	group3	7	5	-8.157663770403522	-8.143131753490616	3.0	9	4	-8.02769467945827	-9.270216351425006	2.0
17503	group3	0	0	-9.17884790994194	-8.894700854075241	0.0	6	10	-8.694702598300951	-7.999485028287916	1.0
10534	group3	0	0	-9.005739148956346	-9.182066184929221	0.0	4	2	-8.007879323372576	-9.041137503113402	2.0
22958	group2	1	5	-8.647499634149913	-8.535906201295282	0.0	4	5	-8.819850445224136	-8.020952025271153	1.0
16941	group1	9	4	-7.89384531434005	-8.02458518127051	3.0	3	4	-9.187628692190028	-7.948036857205568	1.0
19740	group2	3	5	-9.22436128478816	-8.782997517375643	0.0	3	3	-8.025036348167859	-8.610726296375985	2.0
11104	group1	3	1	-8.997292424708002	-8.98615932983095	0.0	3	2	-7.838375771586314	-8.797418649770345	2.0
14576	group3	2	1	-7.894241834935096	-8.043059473640149	3.0	1	5	-9.051464478358715	-7.855635515142534	1.0
14945	group3	4	2	-7.794851232361646	-7.9275834076868605	3.0	5	2	-8.072834335682854	-8.99041256490999	2.0
18929	group3	5	2	-7.993995962938777	-8.199774623536603	3.0	7	2	-8.020909785637356	-8.724556231110755	2.0
8625	group3	0	0	-9.263432367972102	-9.294897496025559	0.0	0	0	-7.949113829476193	-8.885847160067927	2.0
16419	group3	7	5	-8.048561289752106	-8.084021484522793	3.0	3	2	-8.197518812578851	-8.845089753828628	2.0
17991	group2	1	8	-8.065443193714344	-7.861833078861539	3.0	2	1	-8.848410187740974	-8.115807880462011	1.0
15892	group3	3	0	-9.046930251115388	-8.983670178340454	0.0	0	7	-9.078406924557495	-7.876607110642076	1.0
15400	group3	7	10	-8.185577277869957	-7.777120279132243	3.0	0	6	-9.072824723601764	-7.9725643843850404	1.0
25607	group1	9	5	-7.882115907889021	-8.181341546922605	3.0	10	0	-8.058024913995835	-9.10657183750383	2.0
25613	group3	7	12	-8.132128115613376	-7.922618298692867	3.0	8	4	-7.935743809998108	-8.937366899631833	2.0
14739	group3	2	1	-8.923028864399612	-8.952032119478211	0.0	3	10	-9.435972423747238	-7.946583486460359	1.0
9456	group3	5	6	-8.14220558324242	-8.117672946226234	3.0	7	0	-7.860063141635154	-8.901476677209466	2.0
28030	group3	6	6	-9.296633714630886	-9.362684447738676	0.0	2	10	-8.833625906432435	-8.136392265419726	1.0
15022	group3	0	1	-9.101646589808759	-8.33299193492665	0.0	2	2	-8.96283572841389	-7.983783574586163	1.0
12584	group3	2	1	-8.024677987930705	-8.10282237856593	3.0	7	1	-7.980598026950591	-9.149467429943847	2.0
16181	group3	2	2	-9.07085520925578	-8.881711435585682	0.0	0	11	-8.917662022872012	-7.8218555597796104	1.0
12289	group3	0	1	-9.19129650374529	-8.492292685428554	0.0	1	6	-9.457957359560952	-8.129576586294233	1.0
16863	group3	1	0	-9.356283685915585	-9.333843646156131	0.0	8	0	-8.080740071248826	-9.627533032062141	2.0
10223	group3	1	5	-9.426365168191237	-8.509275737459541	0.0	7	1	-7.826897104197991	-9.02477632218646	2.0
21506	group3	11	7	-7.821662197391049	-8.104625501990679	3.0	2	10	-8.504790092644058	-8.23732739367895	1.0
15978	group2	3	1	-9.046048558703085	-9.408289677550949	0.0	1	5	-8.953699339363093	-8.209204675507868	1.0
