nCount_RNA	group	1_0.25_0.25_0.25_0.25_0.5_x	1_0.25_0.25_0.25_0.25_0.5_y	1_0.25_0.25_0.25_0.25_0.5_x_expression	1_0.25_0.25_0.25_0.25_0.5_y_expression	1_0.25_0.25_0.25_0.25_-0.5_x	1_0.25_0.25_0.25_0.25_-0.5_y	1_0.25_0.25_0.25_0.25_-0.5_x_expression	1_0.25_0.25_0.25_0.25_-0.5_y_expression	1_0.25_0.25_0.25_0.25_0_x	1_0.25_0.25_0.25_0.25_0_y	1_0.25_0.25_0.25_0.25_0_x_expression	1_0.25_0.25_0.25_0.25_0_y_expression	1_0.25_0.25_0.15_0.25_0.5_x	1_0.25_0.25_0.15_0.25_0.5_y	1_0.25_0.25_0.15_0.25_0.5_x_expression	1_0.25_0.25_0.15_0.25_0.5_y_expression	1_0.25_0.25_0.15_0.25_-0.5_x	1_0.25_0.25_0.15_0.25_-0.5_y	1_0.25_0.25_0.15_0.25_-0.5_x_expression	1_0.25_0.25_0.15_0.25_-0.5_y_expression	1_0.25_0.25_0.15_0.25_0_x	1_0.25_0.25_0.15_0.25_0_y	1_0.25_0.25_0.15_0.25_0_x_expression	1_0.25_0.25_0.15_0.25_0_y_expression
20036	group3	0	0	0.07247655969374894	0.2778810955690385	0	0	0.14372518698876707	0.22558770264104608	6	0	1.1212457150090924	0.06288786478376993	1	1	0.16666750694604182	0.09762497178651824	0	2	0.18000670478419806	0.756514346908311	2	2	0.5164736955725489	0.5132789386216896
20682	group2	1	0	0.3413529283687783	0.015563620467688083	0	0	0.104265521834886	0.3514809601059975	0	0	0.3545247116814447	0.10805759846801755	3	3	0.48705764796677387	0.6293152344956885	1	1	0.3221711210418255	0.20792137065524327	0	0	0.23841920716110762	0.14793590908926776
36511	group3	0	0	0.10753820205030562	0.06223231391084444	0	4	0.0033726558009776197	0.7826688122083296	0	0	0.13683767697238852	0.1961007092275585	1	1	0.18910117822638822	0.40664799922998685	1	3	0.1520667115223287	0.5342931339354631	0	1	0.45282127380729864	0.5034298522633192
12534	group3	0	0	0.29361402259201874	0.4388935486411071	0	0	0.41718193426574135	0.27626971241617393	0	0	0.49323039944397273	0.25173340378910053	0	0	0.20635360441007153	0.08998574933723114	0	0	0.2141020410595519	0.07866589719327036	1	1	0.47456767788817567	0.4134470961040514
18220	group3	0	0	0.13430119876413266	0.20783432292801413	0	0	0.11988824948199309	0.24165604141199384	0	3	0.033696730931264574	1.0807498791612207	2	0	0.6045974418372954	0.3633531251157037	1	0	0.3639144127697415	0.5079436516607743	0	0	0.3326900697652618	0.32248939784158703
7350	group2	0	0	0.17550728092045126	0.312185527573563	0	0	0.09206167371142196	0.3299273453101511	0	0	0.30644665330698045	0.16184230141460115	2	0	0.45284932815673984	0.23671136119803443	0	0	0.08261117401516249	0.2613648964221508	0	0	0.08892119477869465	0.294684421892626
13052	group3	0	0	0.4298107305152112	0.389083243516948	0	0	0.2221741191515809	0.07978919200869455	0	0	0.1796781454621624	0.08298841347276248	1	0	0.3391017044053056	0.3047990009734857	0	0	0.5259250992758816	0.08664317328914761	0	0	0.3069376369011593	0.03834275844043217
16425	group1	0	0	0.2795261165296601	0.429237669688317	0	1	0.13909893169748874	0.33610155537316433	0	0	0.4498417846345538	0.6919083654043532	0	2	0.20588905651674158	0.6230974650834245	0	0	0.032434817761551105	0.221651478443762	1	0	0.44073270646875806	0.10495119959857485
13753	group3	0	0	0.2779570053278929	0.20484281758662076	0	0	0.05604331784358024	0.2921602571887605	1	0	0.3704863471266965	0.19036159835665833	0	0	0.31348264933085646	0.21357718271771142	0	1	0.12527892681140973	0.17688140151579756	1	1	0.5198179507735567	0.5730966483508279
14036	group2	0	1	0.45143717803612216	0.38713911788140454	0	0	0.11100671019473421	0.1659247789478182	0	0	0.489439675739941	0.200049467733355	1	0	0.1173376430174895	0.2086569023699191	0	0	0.25545067630547696	0.07322526653630945	3	0	0.45755646344679335	0.24348154061385732
12190	group3	1	0	0.28268752936965025	0.21378680304480763	0	2	0.09132187525575716	0.4556868964894144	0	0	0.25606489126916615	0.636455212803203	1	0	0.10943111730393107	0.11898118549177783	0	0	0.3825638582966971	0.09960031850265344	1	1	0.12755279054636393	0.023539214794397828
12761	group3	1	0	0.14467904036486273	0.5277056568793754	0	1	0.22974226642132667	0.37288371182123903	0	0	0.38627638067191117	0.12369281609649549	1	0	0.2743972161703321	0.34845419004393097	1	0	0.1888115558336091	0.20786547778985376	0	0	0.2922146254762213	0.2703257640735086
25426	group2	4	1	1.0731105508888894	0.6008572393969713	0	0	0.5667330425676198	0.12906220646839944	0	1	0.20429025635056627	0.3851312829387005	0	5	0.18518741794891147	0.6971805178640402	1	2	0.3049517846459108	0.3882059313012117	4	2	0.4439625742058325	0.3928742916088701
23016	group3	2	1	0.3406130693451248	0.23506546645103646	0	0	0.19837850389434492	0.7646732318959041	3	0	0.7337720085247132	0.1825949181645216	0	0	0.14781317992547532	0.2895334867607672	0	0	0.10298135236608613	0.14753053657436557	0	3	0.12067178907596932	0.3387696007894836
15267	group3	0	0	0.17657969282856645	0.23091017558420734	0	1	0.363997069727822	0.5080701968488899	0	0	0.18911033023022386	0.5005784003189229	0	1	0.08352511936643275	0.5364415164699425	1	0	0.3255858804498596	0.0010270160599813727	1	1	0.3091819295487538	0.5520892636627543
15680	group3	2	0	0.14724775601756665	0.5324881098505726	0	0	0.08390826269138185	0.4482706516771353	0	0	0.028385014209853232	0.177069941890034	1	0	0.24058602122592523	0.1559975494332374	0	0	0.18047630435729545	0.20480357735242727	0	1	0.2812663942284592	0.32679615231944914
9677	group1	0	0	0.07640743125550484	0.5871003331285874	0	1	0.10683587212365053	0.5737718459532243	0	0	0.47063474186412096	0.39508750404772475	0	0	0.2539881935584616	0.40860022890655645	0	0	0.21892351359097625	0.2269385456984531	0	0	0.22704307818514027	0.4738687730656004
